open,high,low,close,volume,date
0.02918,0.02921,0.028044,0.028129,45035381,2024-12-20 01:00:00
0.028625,0.029849,0.028348,0.029169,70200072,2024-12-20 00:00:00
0.029441,0.029468,0.0286,0.028624,23219171,2024-12-19 23:00:00
0.029006,0.029449,0.028561,0.029449,47553100,2024-12-19 22:00:00
0.028211,0.029125,0.028019,0.029,45144315,2024-12-19 21:00:00
0.028076,0.028426,0.026861,0.028203,54917218,2024-12-19 20:00:00
0.028778,0.028812,0.027317,0.02807,37163915,2024-12-19 19:00:00
0.030233,0.030537,0.028422,0.028769,69779275,2024-12-19 18:00:00
0.031051,0.031086,0.029809,0.030258,65480608,2024-12-19 17:00:00
0.030659,0.031639,0.030365,0.031035,71647659,2024-12-19 16:00:00
0.030206,0.031193,0.029206,0.030677,98940707,2024-12-19 15:00:00
0.029711,0.030491,0.029399,0.030212,64817469,2024-12-19 14:00:00
0.030575,0.030759,0.029132,0.029701,91890669,2024-12-19 13:00:00
0.032076,0.0324,0.030326,0.03057,52272698,2024-12-19 12:00:00
0.031589,0.032087,0.030929,0.032071,50605185,2024-12-19 11:00:00
0.031957,0.032482,0.0315,0.03157,55878473,2024-12-19 10:00:00
0.033009,0.033089,0.031896,0.031952,47785439,2024-12-19 09:00:00
0.033925,0.034152,0.03263,0.033014,75176963,2024-12-19 08:00:00
0.03268,0.034847,0.032541,0.033948,121055174,2024-12-19 07:00:00
0.032125,0.033242,0.031532,0.032664,66193157,2024-12-19 06:00:00
0.031676,0.033025,0.030616,0.032116,103831670,2024-12-19 05:00:00
0.033753,0.033762,0.031444,0.031684,103842965,2024-12-19 04:00:00
0.033926,0.034725,0.033059,0.033761,115798293,2024-12-19 03:00:00
0.033025,0.034689,0.031009,0.033959,180865225,2024-12-19 02:00:00
0.03421,0.034684,0.031966,0.033009,206588335,2024-12-19 01:00:00
0.035588,0.036919,0.033319,0.034224,162266037,2024-12-19 00:00:00
0.037143,0.038129,0.035267,0.035577,92247934,2024-12-18 23:00:00
0.036869,0.037748,0.0359,0.037159,63965319,2024-12-18 22:00:00
0.035731,0.037681,0.03535,0.03688,98230648,2024-12-18 21:00:00
0.036502,0.03757,0.035186,0.035726,205250834,2024-12-18 20:00:00
0.038269,0.0395,0.036312,0.03648,155696201,2024-12-18 19:00:00
0.036376,0.039383,0.035751,0.038283,241744225,2024-12-18 18:00:00
0.034514,0.03695,0.033705,0.036394,186313417,2024-12-18 17:00:00
0.034532,0.03563,0.033038,0.034486,111858254,2024-12-18 16:00:00
0.031949,0.034727,0.031724,0.034563,127266092,2024-12-18 15:00:00
0.032419,0.033037,0.031,0.031952,89360470,2024-12-18 14:00:00
0.033519,0.03362,0.031163,0.03243,145642768,2024-12-18 13:00:00
0.033859,0.034825,0.033257,0.033517,105830276,2024-12-18 12:00:00
0.033885,0.038072,0.033507,0.033858,281474449,2024-12-18 11:00:00
0.033238,0.035123,0.0326,0.033887,102329993,2024-12-18 10:00:00
0.032954,0.034442,0.032439,0.033252,97546830,2024-12-18 09:00:00
0.030492,0.033828,0.030055,0.032998,132548024,2024-12-18 08:00:00
0.029059,0.030871,0.028851,0.030451,62623101,2024-12-18 07:00:00
0.030157,0.030357,0.028163,0.029059,62236197,2024-12-18 06:00:00
0.030439,0.0312,0.029727,0.030196,53720948,2024-12-18 05:00:00
0.031001,0.031923,0.0293,0.030468,58014335,2024-12-18 04:00:00
0.031028,0.0325,0.030306,0.031026,72759676,2024-12-18 03:00:00
0.027078,0.031866,0.026538,0.031029,216497019,2024-12-18 02:00:00
0.027159,0.0278,0.026222,0.027062,59471750,2024-12-18 01:00:00
0.028655,0.030598,0.0269,0.027176,71229569,2024-12-18 00:00:00
0.027671,0.029,0.026996,0.028613,44177818,2024-12-17 23:00:00
0.029707,0.031,0.026787,0.027667,79578587,2024-12-17 22:00:00
0.030867,0.031139,0.028266,0.029707,59162635,2024-12-17 21:00:00
0.031757,0.031879,0.030252,0.03088,48538667,2024-12-17 20:00:00
0.034289,0.035266,0.031333,0.03174,104905059,2024-12-17 19:00:00
0.030976,0.035084,0.029802,0.034424,197309338,2024-12-17 18:00:00
0.032228,0.033134,0.028637,0.030999,230416562,2024-12-17 17:00:00
0.036388,0.03973,0.031,0.032243,308943207,2024-12-17 16:00:00
0.039147,0.040299,0.035106,0.036417,199858928,2024-12-17 15:00:00
0.005,0.056334,0.005,0.039112,604904033,2024-12-17 14:00:00
